BreedID,Type,BreedName
1,1,Affenpinscher
2,1,Galgo Afgano
3,1,Airedale Terrier
4,1,Akbash
5,1,Akita
6,1,Malamute de Alaska
7,1,Bulldog Americano
8,1,Perro Esquimal Americano
9,1,Terrier Americano sin Pelo
10,1,American Staffordshire Terrier
11,1,Spaniel de Agua Americano
12,1,Pastor de Anatolia
13,1,Perro Boyero de Appenzell
14,1,Pastor Ganadero Australiano / Blue Heeler
15,1,Kelpie Australiano
16,1,Pastor Australiano
17,1,Terrier Australiano
18,1,Basenji
19,1,Basset Hound
20,1,Beagle
21,1,Collie Barbudo
22,1,Beauceron
23,1,Bedlington Terrier
24,1,Pastor Belga Groenendael
25,1,Pastor Belga Laekenois
26,1,Pastor Belga Malinois
27,1,Pastor Belga Tervueren
28,1,Boyero de Berna
29,1,Bichón Frisé
30,1,Coonhound Negro y Fuego
31,1,Labrador Retriever Negro
32,1,Black Mouth Cur
33,1,Terrier Negro Ruso
34,1,Sabueso de San Huberto
35,1,Blue Lacy
36,1,Coonhound Azul Moteado
37,1,Boerboel
38,1,Boloñés
39,1,Border Collie
40,1,Border Terrier
41,1,Borzoi
42,1,Boston Terrier
43,1,Boyero de Flandes
44,1,Bóxer
45,1,Boykin Spaniel
46,1,Briard
47,1,Spaniel Bretón
48,1,Grifón de Bruselas
49,1,Bull Terrier
50,1,Bullmastiff
51,1,Cairn Terrier
52,1,Perro de Canaán
53,1,Cane Corso
54,1,Perro de Carolina
55,1,Perro Leopardo de Catahoula
56,1,Perro Boyero
57,1,Pastor del Cáucaso (Ovcharka)
58,1,Cavalier King Charles Spaniel
59,1,Retriever de la Bahía de Chesapeake
60,1,Chihuahua
61,1,Crestado Chino
62,1,Perro Foo Chino
63,1,Chinook
64,1,Labrador Retriever Chocolate
65,1,Chow Chow
66,1,Cirneco del Etna
67,1,Clumber Spaniel
68,1,Cockapoo
69,1,Cocker Spaniel
70,1,Collie
71,1,Coonhound
72,1,Corgi
73,1,Coton de Tuléar
74,1,Retriever de Pelo Rizado
75,1,Teckel (Dachshund)
76,1,Dálmata
77,1,Dandie Dinmont Terrier
78,1,Dóberman
79,1,Dogo Argentino
80,1,Dogo de Burdeos
81,1,Pastor Holandés
82,1,Bulldog Inglés
83,1,Cocker Spaniel Inglés
84,1,Coonhound Inglés
85,1,Pointer Inglés
86,1,Setter Inglés
87,1,Pastor Inglés
88,1,Springer Spaniel Inglés
89,1,Toy Spaniel Inglés
90,1,Boyero de Entlebuch
91,1,Perro Esquimal
92,1,Feist
93,1,Field Spaniel
94,1,Fila Brasileño
95,1,Perro Finlandés de Laponia
96,1,Spitz Finlandés
97,1,Retriever de Pelo Liso
98,1,Fox Terrier
99,1,Foxhound
100,1,Bulldog Francés
101,1,Galgo Español
102,1,Pinscher Alemán
103,1,Pastor Alemán
104,1,Braco Alemán de Pelo Corto
105,1,Spitz Alemán
106,1,Braco Alemán de Pelo Duro
107,1,Schnauzer Gigante
108,1,Glen of Imaal Terrier
109,1,Golden Retriever
110,1,Setter Gordon
111,1,Gran Danés
112,1,Gran Pirineo
113,1,Gran Boyero Suizo
114,1,Galgo Inglés
115,1,Harrier
116,1,Bichón Habanero
117,1,Sabueso
118,1,Hovawart
119,1,Husky
120,1,Podenco Ibicenco
121,1,Pastor Ilirio
122,1,Setter Irlandés
123,1,Terrier Irlandés
124,1,Spaniel de Agua Irlandés
125,1,Lobero Irlandés
126,1,Galgo Italiano
127,1,Spinone Italiano
128,1,Jack Russell Terrier
129,1,Jack Russell Terrier (Parson Russell Terrier)
130,1,Chin Japonés
131,1,Jindo
132,1,Kai Ken
133,1,Perro de Osos de Carelia
134,1,Keeshond
135,1,Kerry Blue Terrier
136,1,Kishu
137,1,Klee Kai
138,1,Komondor
139,1,Kuvasz
140,1,Kyi Leo
141,1,Labrador Retriever
142,1,Lakeland Terrier
143,1,Lancashire Heeler
144,1,Leonberger
145,1,Lhasa Apso
146,1,Löwchen
147,1,Maltés
148,1,Manchester Terrier
149,1,Pastor Maremmano
150,1,Mastín
151,1,McNab
152,1,Pinscher Miniatura
153,1,Mountain Cur
154,1,Perro de Montaña
155,1,Munsterlander
156,1,Mastín Napolitano
157,1,Perro Cantor de Nueva Guinea
158,1,Terranova
159,1,Norfolk Terrier
160,1,Buhund Noruego
161,1,Elkhound Noruego
162,1,Lundehund Noruego
163,1,Norwich Terrier
164,1,Retriever de Nueva Escocia
165,1,Pastor Inglés Antiguo (Bobtail)
166,1,Otterhound
167,1,Papillón
168,1,Patterdale Terrier (Fell Terrier)
169,1,Pequinés
170,1,Perro sin Pelo del Perú
171,1,Petit Basset Griffon Vendéen
172,1,Sabueso del Faraón
173,1,Pit Bull Terrier
174,1,Plott Hound
175,1,Podenco Portugués
176,1,Pointer
177,1,Pastor Polaco de las Llanuras
178,1,Pomerania
179,1,Caniche
180,1,Perro de Agua Portugués
181,1,Presa Canario
182,1,Carlino (Pug)
183,1,Puli
184,1,Pumi
185,1,Rat Terrier
186,1,Coonhound Rojo (Redbone)
187,1,Retriever
188,1,Rhodesian Ridgeback
189,1,Rottweiler
190,1,San Bernardo
191,1,Saluki
192,1,Samoyedo
193,1,Sarplaninac
194,1,Schipperke
195,1,Schnauzer
196,1,Galgo Escocés
197,1,Terrier Escocés (Scottie)
198,1,Sealyham Terrier
199,1,Setter
200,1,Shar Pei
201,1,Perro Pastor
202,1,Pastor
203,1,Pastor de Shetland (Sheltie)
204,1,Shiba Inu
205,1,Shih Tzu
206,1,Husky Siberiano
207,1,Silky Terrier
208,1,Skye Terrier
209,1,Sloughi
210,1,Fox Terrier de Pelo Liso
211,1,Ovcharka del Sur de Rusia
212,1,Spaniel
213,1,Spitz
214,1,Staffordshire Bull Terrier
215,1,Caniche Estándar
216,1,Sussex Spaniel
217,1,Vallhund Sueco
218,1,Terrier
219,1,Ridgeback Tailandés
220,1,Mastín Tibetano
221,1,Spaniel Tibetano
222,1,Terrier Tibetano
223,1,Tosa Inu
224,1,Toy Fox Terrier
225,1,Treeing Walker Coonhound
226,1,Vizsla
227,1,Weimaraner
228,1,Welsh Corgi
229,1,Springer Spaniel Galés
230,1,Terrier Galés
231,1,West Highland White Terrier (Westie)
232,1,Wheaten Terrier (Trigo Irlandés)
233,1,Whippet
234,1,Pastor Alemán Blanco
235,1,Fox Terrier de Pelo Duro
236,1,Grifón de Muestra de Pelo Duro
237,1,Terrier de Pelo Duro
238,1,Xoloitzcuintle
239,1,Labrador Retriever Amarillo
240,1,Yorkshire Terrier (Yorkie)
307,1,Mestizo